id,franchise,subtitle_ที่เหลือ,คำบอกชุด,generic,name
45656673294,attack on titan,Attack on Titan (ผ่าพิภพไททัน) งานจับฉลาก,1,⚠️กว้าง,[พรีออเดอร์🇯🇵] Ichiban Kuji Attack on Titan (ผ่าพิภพไททัน) ง
27279490589,blue lock,Blue lock,0,⚠️กว้าง,[พรีออเดอร์✅🇯🇵] Ichiban kuji Blue lock - Prepared for the Fi
29339788269,crayon shin-chan,Crayon Shin-chan ~I'm Full~,1,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji Crayon Shin-chan ~I'm Full~ | งานร
29965776108,jujutsu kaisen,Jujutsu Kaisen (มหาเวทย์ผนึกมาร),1,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Jujutsu Kaisen (มหาเวทย์ผนึกมา
49006759453,kaiju no,Kaiju No. 8 2nd Edition,1,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji Kaiju No. 8 2nd Edition // ไคจู หม
29488922987,kaiju no,Kaiju No.8 1st Edition,1,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji Kaiju No.8 1st Edition | งานรางวัล
44328829559,my hero academia,My Hero Academia,0,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji My Hero Academia – Spun Feelin
49556753289,naruto,NARUTO,0,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji NARUTO - Land of Waves // นารูโตะ 
42028898599,naruto,Naruto,0,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji Naruto – Chunin Exam Edition ฟ
27536611650,naruto,Naruto,0,⚠️กว้าง,🔥 พรีออเดอร์เปิดแล้ว! 🔥 Ichiban Kuji Naruto - Will of the Fi
52756322318,naruto shippuden,Naruto Shippuden สงครามนินจา,1,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵 | Keyima] Ichiban Kuji Naruto Shippuden สงคร
51206477637,one piece,One Piece,0,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji One Piece - The Throne of Power //
47406764360,one piece,One Piece,0,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵][LastOne] Ichiban Kuji One Piece – The Great
26924040996,one piece,One Piece,0,⚠️กว้าง,🛒 [พรีออเดอร์🇯🇵] Ichiban Kuji One Piece – The Greatest Battl
43079024592,sakamoto days,SAKAMOTO DAYS vol.3,0,⚠️กว้าง,[พรีออเดอร์] Ichiban Kuji SAKAMOTO DAYS vol.3 // อิจิบัง คุจ
50206654322,(?),,0,,"[พรีออเดอร์] Ichiban Kuji - Arya-san, the girl next door who"
47156378418,(?),,0,,🛒 [พรีออเดอร์🇯🇵] YuYu Hakusho Ichiban Kuji – Dark Martial Ar
44403354384,(?),Figure,0,,[พรีออเดอร์]: Demon Slayer Burn Your Heart ฟิกเกอร์ งานจับฉล
44250945731,(?),Figure,0,,[พรีออเดอร์✅🇯🇵]: ดิจิม่อน Digimon Two Powers that Emit Light
