id,name,keyword_now,problem,null_prizes,added
53056751729,Ichiban Kuji BLEACH Stirring Souls vol.3 // อิจิบัง คุจ,一番くじ BLEACH Stirring Souls vol.3,BLEACH Stirring Souls vol.3 → ค้นได้ vol.4 (ของในชุดน้อย),C A,2026-06-24
52756322318,Ichiban Kuji Naruto Shippuden สงครามนินจา – ฟิกเกอร์ Na,一番くじ NARUTO 疾風伝 忍界大戦,ค้นได้ชุดอื่น (風影奪還編) — kw 忍界大戦 ไม่ตรง,C B A E Last One D,2026-06-24
52706417814,Ichiban Kuji MY HERO ACADEMIA: Conflicting Feelings มาย,一番くじ 僕のヒーローアカデミア Conflicting Feelings,subtitle อังกฤษ Conflicting Feelings ไม่ match ญี่ปุ่น → ได้ bright future/文化祭,F B Last one C E D A,2026-06-24
52356755972,Ichiban Kuji Idolmaster Shiny Colors Midnight Secret Pa,一番くじ アイドルマスター シャイニーカラーズ Midnight Secret Party,LO ไม่ชัวร์ subtitle (Midnight Secret Party),A LO,2026-06-24
50656861986,Ichiban Kuji Idolmaster Shiny Colors Lolita Collection ,一番くじ アイドルマスター シャイニーカラーズ Lolita Fashion Collection,アイマス Lolita Fashion — A賞 ไม่เจอ,A,2026-06-24
48856739408,Ichiban Kuji Demon Slayer: The Successor // เดม่อน ดาบพ,一番くじ 鬼滅の刃 継ぐ者,鬼滅 継ぐ者 — listing กว้าง แยกชุดไม่ได้,C LO A B,2026-06-24
47356780698,Ichiban Kuji JoJo's Bizarre Adventure -THE★JOJO WORLD- ,一番くじ ジョジョの奇妙な冒険 THE★JOJO WORLD,kw THE★JOJO WORLD → ค้นได้ ストーンオーシャン,F D,2026-06-24
46906885643,"Ichiban Kuji Movie ""The Quintessential Quintuplets"" ~Se",一番くじ 五等分の花嫁 こっそり相乗り,五等分 こっそり相乗り → ได้แต่อะคริลิค ไม่ชัวร์,A LO,2026-06-24
46806343082,Ichiban Kuji Crows & Worst ~ Wandering Crows ~  อิจิบัง,一番くじ クローズ WORST 流浪のカラス,クローズWORST 流浪のカラス — A賞 ไม่เจอ,A,2026-06-24
46506739987,Ichibankuji DEMON SLAYER: Kimetsu no Yaiba - Bonds of F,一番くじ 鬼滅の刃 絆ノ装 弐,鬼滅 絆ノ装 弐 — listing กว้าง แยกชุดไม่ได้,B C LO A,2026-06-24
46406880305,Ichiban Kuji Uma Musume Pretty Derby 12th Edition // สา,一番くじ ウマ娘 プリティーダービー Vol.12,ウマ娘 Vol.12 → ค้นได้ 5弾 (เลขชุดไม่ตรง),B LO A,2026-06-24
45610159493,Ichiban Kuji Dragon Ball THE CHRONICLE OF GOKU (ดราก้อน,一番くじ ドラゴンボール THE CHRONICLE OF GOKU,DB THE CHRONICLE OF GOKU → ไม่ชัวร์ชุด,F,2026-06-24
45056668486,Ichiban Kuji The Great Cats War ~Let's all play Peri-Pe,一番くじ にゃんこ大戦争,kw にゃんこ大戦争 → ค้นได้ mofusand (คนละแบรนด์),A,2026-06-24
44250945731,: ดิจิม่อน Digimon Two Powers that Emit Light ฟิกเกอร์ ,一番くじ デジモン 光を放つ、ふたつの力,kw デジモン → ค้นได้ モンスト,LastOne,2026-06-24
43253320163,: Ichiban Kuji Harry Potter Magical Sweets Party / งานจ,一番くじ ハリーポッター マジカルスイーツ,ハリポタ マジカルスイーツ → ได้ Magical Holiday (คนละชุด),A Last one,2026-06-24
42078881687,Ichiban Kuji My Hero Academia Continuous Stars มายฮีโร่,一番くじ 僕のヒーローアカデミア Continuous Stars,ヒロアカ Continuous Stars → ได้ NEXT GEN/YOU'RE NEXT,C Last one B D A,2026-06-24
41953299727,: Mobile Suit Gundam ฟิกเกอร์ งานจับฉลาก / Ichiban Kuji,一番くじ 機動戦士ガンダム,kw แค่ '機動戦士ガンダム' กว้างไป — ได้หลายชุดปน,Last one A,2026-06-24
58110673783,Ichiban Kuji REBORN! แหวน รีบอร์น ล็อตใหม่ ของแท้จากญี่,,ยังไม่มี keyword,1 7 แรมโบ้ 4 6 แรมโบ้ 3 แรมโบ้ 2 4 แรมโบ้ 1 2 5 3,2026-06-24
56704436452,Ichiban Kuji ONE PIECE (วันพีซ) ป้าย Tobe continue– Dra,,ยังไม่มี keyword,ป้าย One piece ป้าย To be continue,2026-06-24
55106414178,Ichiban kuji Dragon Ball ASSEMBLE COLLECTION ~ Goku chi,,ยังไม่มี keyword,20 ชิ้น ป้าย dragon 24 ชิ้น,2026-06-24
52451242969,Ichiban Kuji Attack on Titan: I'll take down the Beast ,,ยังไม่มี keyword,รับสินค้าตามระบบ ส่งด่วน 7-14 วัน รับใบพรีก่อน,2026-06-24
51059266945,Ichiban Kuji Spring and Autumn Warring States… (คิงดอม ,,ยังไม่มี keyword,1 3 2 4 5 6,2026-06-24
50112186474,Ichiban Kuji One Piece  Sculptor King Senor Pink ~With ,,ยังไม่มี keyword,B สีเข้มกว่า A สีอ่อนกว่า,2026-06-24
49506671485,Ichiban Kuji Hololive ~Villain Style~ // อิจิบัง คุจิ โ,,ยังไม่มี keyword,Watame Tsunomaki Shihaku Botan Shirakami Fubuki Ogami Mio,2026-06-24
44381689424,Ichiban Kui Jujutsu Kaisen ０ (มหาเวทย์ผนึกมาร) ล็อตใหม่,,ยังไม่มี keyword,1,2026-06-24
43800906627,พร้อมส่ง! โซโร รางวัล ซี วันพีซ ฟิกเกอร์ งานจับฉลาก / Z,,ยังไม่มี keyword,-,2026-06-24
43500901644,พร้อมส่ง! ดราก้อน รางวัล ลาสวัน วันพีซ ฟิกเกอร์ งานจับฉ,,ยังไม่มี keyword,-,2026-06-24
43450882162,พร้อมส่ง! ลูฟี่ รางวัล เอ วันพีซ ฟิกเกอร์ งานจับฉลาก / ,,ยังไม่มี keyword,-,2026-06-24
43428996169,Ichiban Kuji Hololive ~Wedding Dress Style~ // อิจิบัง ,,ยังไม่มี keyword,Shirogane Noel Houshou Marine Towa Tokoyami Yukihana Lamy,2026-06-24
43400906740,พร้อมส่ง! ลูฟี่ รางวัล เอ วันพีซ ฟิกเกอร์ งานจับฉลาก / ,,ยังไม่มี keyword,-,2026-06-24
43400882284,พร้อมส่ง! ลอว์ รางวัล บี วันพีซ ฟิกเกอร์ งานจับฉลาก / T,,ยังไม่มี keyword,-,2026-06-24
42950892944,พร้อมส่ง! วิสต้า รางวัล ดี วันพีซ ฟิกเกอร์ งานจับฉลาก /,,ยังไม่มี keyword,-,2026-06-24
42600902113,พร้อมส่ง! แชงค์ รางวัล ลาสวัน วันพีซ ฟิกเกอร์ งานจับฉลา,,ยังไม่มี keyword,-,2026-06-24
42350898387,พร้อมส่ง! โอโรจิมารุ รางวัล บี นารูโตะ ฟิกเกอร์ งานจับฉ,,ยังไม่มี keyword,-,2026-06-24
42050877446,พร้อมส่ง! ลูฟี่ รางวัล เอ วันพีซ ฟิกเกอร์ งานจับฉลาก / ,,ยังไม่มี keyword,-,2026-06-24
41750886363,พร้อมส่ง! หนวดดำ รางวัล บี วันพีซ ฟิกเกอร์ งานจับฉลาก /,,ยังไม่มี keyword,-,2026-06-24
41451575431,พร้อมส่ง! ไอซาวะ โชตะ ลาสวัน มายฮีโร่ ฟิกเกอร์ งานจับฉล,,ยังไม่มี keyword,-,2026-06-24
41101580012,พร้อมส่ง! โมโนมะ เนย์โตะ ซี มายฮีโร่ ฟิกเกอร์ งานจับฉลา,,ยังไม่มี keyword,ปกติ กล่องชำรุด,2026-06-24
41101569665,พร้อมส่ง! เดกุ มิโดริยะ อิซึคุ เอ มายฮีโร่ ฟิกเกอร์ งาน,,ยังไม่มี keyword,-,2026-06-24
40401570582,พร้อมส่ง! เดกุ มิโดริยะ อิซึคุ เอ มายฮีโร่ ฟิกเกอร์ งาน,,ยังไม่มี keyword,-,2026-06-24
40350873135,พร้อมส่ง! ซาโบ้ รางวัล เอ วันพีซ ฟิกเกอร์ งานจับฉลาก / ,,ยังไม่มี keyword,-,2026-06-24
40250907661,พร้อมส่ง! คาคาชิ รางวัล ดี นารูโตะ ฟิกเกอร์ งานจับฉลาก ,,ยังไม่มี keyword,-,2026-06-24
40250906846,พร้อมส่ง! จีเวลรี่ บอนนี่ รางวัล อี วันพีซ ฟิกเกอร์ งาน,,ยังไม่มี keyword,-,2026-06-24
40200893089,พร้อมส่ง! คิง รางวัล อี วันพีซ ฟิกเกอร์ งานจับฉลาก / Ki,,ยังไม่มี keyword,-,2026-06-24
29869428543,พร้อมส่ง: Ichiban kuji: เกิดใหม่ทั้งทีกลายเป็นสไลม์ไปซะ,,ยังไม่มี keyword,-,2026-06-24
29736585674,พร้อมส่ง! ซาสึเกะ อิทาจิ รางวัล ลาสวัน นารูโตะ ฟิกเกอร์,,ยังไม่มี keyword,-,2026-06-24
29129909796,พร้อมส่ง: Ichiban kuji Naruto | Kakashi ตาธรรมดา (C),,ยังไม่มี keyword,-,2026-06-24
28886569070,พร้อมส่ง! คิด รางวัล ซี วันพีซ ฟิกเกอร์ งานจับฉลาก / Eu,,ยังไม่มี keyword,-,2026-06-24
28069432993,Ichiban kuji: Jujutsu kaisen sukuna ซุคุนะ งานจับฉลาก,,ยังไม่มี keyword,-,2026-06-24
27886573878,พร้อมส่ง! การ์ป รางวัล ลาสวัน วันพีซ ฟิกเกอร์ งานจับฉลา,,ยังไม่มี keyword,-,2026-06-24
26836595132,พร้อมส่ง! โมโมโนะสุเกะ รางวัล เอ วันพีซ ฟิกเกอร์ งานจับ,,ยังไม่มี keyword,-,2026-06-24
26436568695,พร้อมส่ง! คล็อกโคไดล์ รางวัล บี วันพีซ ฟิกเกอร์ งานจับฉ,,ยังไม่มี keyword,-,2026-06-24
25135248615,endeavor myhero ichiban kuji d | เอนเดเวอร์ มายฮีโร่ งา,,ยังไม่มี keyword,รอตามระบบ รับใบพรี,2026-06-24
55556314536,อิจิบังคุจิ วันพีช การ์ดเกม | Ichiban Kuji ONE PIECE CA,一番くじ ワンピースカードゲーム,ยังไม่ได้ดึงรอบนี้,E2 B1 B2 E1,2026-06-24
52810593473,Ichiban Kuji REBORN! Ring Battle รีบอร์น ล็อตใหม่  ของแ,一番くじ 家庭教師ヒットマンREBORN! リング争奪戦,ยังไม่ได้ดึงรอบนี้,กล่อง ไม่มีแหวน,2026-06-24
45356437721,Ichibankuji DRAGON BALL 40th ~Part 1~ // อิจิบัง คุจิ ด,一番くじ ドラゴンボール 40th 其之一,ยังไม่ได้ดึงรอบนี้,A B C แบบ 2 C แบบ 1,2026-06-24
45256628041,Ichiban Kuji JoJo's Bizarre Adventure STARDUST CRUSADER,一番くじ ジョジョの奇妙な冒険 スターダストクルセイダース,ยังไม่ได้ดึงรอบนี้,A F D E,2026-06-24
44609855070,Ichiban Kuji One Piece MONKEY.D.LUFFY－(วันพีซ) ล็อตใหม่,一番くじ ワンピース MONKEY.D.LUFFY 冒険の記憶,ยังไม่ได้ดึงรอบนี้,D,2026-06-24
44329110935,Ichiban Kuji Jujutsu Kaisen Death Return Ichi  อิจิบังค,一番くじ 呪術廻戦 死滅回游 壱,ยังไม่ได้ดึงรอบนี้,F,2026-06-24
41800589986,Ichiban Kuji Baki ~The world can be changed with one fi,一番くじ バキ,ยังไม่ได้ดึงรอบนี้,LASTONE,2026-06-24
41729088622,Ichiban Kuji The Quintessential Quintuplets * ~With Lov,一番くじ 五等分の花嫁 想いを込めて,ยังไม่ได้ดึงรอบนี้,E D A B C,2026-06-24
