id,name,prizes,is_kuji,need_fetch,addedDate
49606446896,Ichiban Kuji Last one Dragon Ball VS Omnibus Ultimate // อิจิบัง คุจิ ดราก้อนบอล ลาสวัน,LO,kuji,YES,2026-06-24
27525733581,[พรีออเดอร์/PreOrder✅🇯🇵]: Ichiban Kuji Dragon ball EX Goku Training Edition ดราก้อนบอล งานจับฉลาก,A D C Last one E B,kuji,YES,2026-06-24
41029040028,"[พรีออเดอร์] Ichiban Kuji ""Digimon"" Series -Collision of Light and Darkness- / ดิจิม่อน อิจิบัง คุจิ",LO A B,kuji,YES,2026-06-24
50356639195,"[พรีออเดอร์] Ichiban Kuji ""That Dress-Up Doll Falls in Love"" Season 2 // หนุ่มเย็บผ้ากับสาวนักคอสเ",A LO,kuji,YES,2026-06-24
50206654322,"[พรีออเดอร์] Ichiban Kuji - Arya-san, the girl next door who sometimes whispers in Russian // อาเรีย",A LO,kuji,YES,2026-06-24
51456748969,[พรีออเดอร์] Ichiban Kuji 3rd Year Class Z Ginpachi Sensei ~Youth in the Lottery Style is Here!~ // กินทามะ,A B C LO,kuji,YES,2026-06-24
50956844451,"[พรีออเดอร์] Ichiban Kuji Anime ""Bocchi the Rock!"" VOLUME 4 // อิจิบัง คุจิ งานรางวัล",C B A LO D,kuji,YES,2026-06-24
53056751729,[พรีออเดอร์] Ichiban Kuji BLEACH Stirring Souls vol.3 // อิจิบัง คุจิ บลีช เทพมรณะ,C LO A B,kuji,YES,2026-06-24
41800589986,[พรีออเดอร์] Ichiban Kuji Baki ~The world can be changed with one fist~ บากิ,B A LASTONE,kuji,YES,2026-06-24
50506603158,[พรีออเดอร์] Ichiban Kuji Blue Lock : Day off | งานรางวัล คุกฟ้า ขังดวลแข้ง บลูล็อค,C Last one A B,kuji,YES,2026-06-24
51756662469,[พรีออเดอร์] Ichiban Kuji Blue Lock Proof of Existence // บลูล็อค อิจิบัง คุจิ คุกฟ้า,A B C,kuji,YES,2026-06-24
29339788269,[พรีออเดอร์] Ichiban Kuji Crayon Shin-chan ~I'm Full~ | งานรางวัล ชินจัง,F White F Blue D A B F Black C E Dish,kuji,YES,2026-06-24
51556662145,[พรีออเดอร์] Ichiban Kuji Dandadan ~Occultic Battle Begins!~ // ดาดาดัน,LO A,kuji,YES,2026-06-24
48856739408,[พรีออเดอร์] Ichiban Kuji Demon Slayer: The Successor // เดม่อน ดาบพิฆาตอสูร อิจิบัง คุจิ,C LO A B,kuji,YES,2026-06-24
